@YourstrulyVish,2021-08-01T03:19:10.000Z,0,2,4
@woundedpixel,2021-08-01T03:08:46.000Z,12,43,142
@sandrikNFT,2021-08-01T03:02:30.000Z,3,1,9
@aCrazyMonkey,2021-08-01T02:57:40.000Z,5,17,99
@proofofdarth,2021-08-01T02:50:12.000Z,1,3,6
@NFTicket,2021-08-01T02:38:02.000Z,10,16,89
@byswickie,2021-08-01T02:32:44.000Z,9,16,121
@lulodoteth,2021-08-01T02:31:25.000Z,1,1,8
@IrinaLiakh,2021-08-01T02:16:00.000Z,1,1,30
@Walshy_Eth,2021-08-01T02:15:29.000Z,1,0,8
@fxnction,2021-08-01T02:13:41.000Z,0,0,10
@RoninDaCC,2021-08-01T02:02:31.000Z,2,5,20
@boxofcorey,2021-08-01T01:41:55.000Z,0,1,19
@0xboredrobot,2021-08-01T01:34:34.000Z,1,0,32
@slobotski,2021-08-01T01:34:19.000Z,0,0,5
@Walshy_Eth,2021-08-01T02:15:29.000Z,1,0,8
@fxnction,2021-08-01T02:13:41.000Z,0,0,10
@RoninDaCC,2021-08-01T02:02:31.000Z,2,5,20
@boxofcorey,2021-08-01T01:41:55.000Z,0,1,19
@0xboredrobot,2021-08-01T01:34:34.000Z,1,0,32
@slobotski,2021-08-01T01:34:19.000Z,0,0,5
